,file,class,method,constructor,line,cbo,cboModified,fanin,wmc,rfc,loc,hasJavaDoc
57,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\VoteService.java,nl.tudelft.sem.template.hoa.services.VoteService,"storeRequirementResults/2[int,nl.tudelft.sem.template.commons.models.RequirementResultsModel]",False,57,5,5,2,1,5,4,True
58,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\VoteService.java,nl.tudelft.sem.template.hoa.services.VoteService,getListEligibleMembers/1[int],False,88,4,2,0,1,2,4,False
59,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\VoteService.java,nl.tudelft.sem.template.hoa.services.VoteService,"storeElectionResults/2[int,nl.tudelft.sem.template.commons.models.ElectionResultsModel]",False,46,7,6,2,1,9,5,True
60,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\user\PasswordWasChangedEvent.java,nl.tudelft.sem.template.authentication.domain.user.PasswordWasChangedEvent,PasswordWasChangedEvent/1[nl.tudelft.sem.template.authentication.domain.user.AppUser],True,9,1,1,1,1,0,3,False
61,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\user\PasswordWasChangedEvent.java,nl.tudelft.sem.template.authentication.domain.user.PasswordWasChangedEvent,getUser/0,False,13,1,0,0,1,0,3,False
62,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\controllers\DefaultController.java,nl.tudelft.sem.template.example.controllers.DefaultController,helloWorld/0,False,36,3,1,0,1,2,3,True
63,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\controllers\DefaultController.java,nl.tudelft.sem.template.example.controllers.DefaultController,DefaultController/1[nl.tudelft.sem.template.example.authentication.AuthManager],True,26,2,0,0,1,0,3,True
64,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,getId/0,False,36,1,0,0,1,2,3,False
65,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,getRequirement/0,False,46,1,0,0,1,2,3,False
66,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,testEquals/0,False,24,2,1,0,1,2,10,False
